,Date,Username,Tweet
0,2022-05-27 10:20:28+00:00,muybuenoamigo,@NUGJPCHASE NUG! hopefully it’s almost over those bastards @Citibank can’t tank the market with a downgrade
1,2022-05-27 10:10:45+00:00,robertmeijer,"I'm a gay man and frowned upon. Two lesbians having kids while inherently dedicating more time to themselves versus two men is better than tolerated, maybe even prized (see: Citibank). My testosterone is radically suppressed as a first line option. The sexism of space."
2,2022-05-27 10:08:35+00:00,Jmsdqn,"Inapply ko Citibank rewards card, binigay sakin BDO Titanium card haha"
3,2022-05-27 09:52:38+00:00,RussianP,@Citibank ain’t shit i can’t wait to get my money out you all’s trifling ass establishment. You have my money tired up for no reason. Banking is one thing that should not be outsourced to other countries. You let people who can’t even speak or understand English handle out money
4,2022-05-27 09:41:13+00:00,BLACKSTEMUSA,.@Citibank here's a question for you: The Ransom (investigated &amp; published by NYT) has well-documented the total amount of money your CEOs stripped from Haiti. For a CENTURY. You're hiding this fact by not answering requests for your archival records. Why are you being dishonest? https://t.co/cW8m5gg7j9
5,2022-05-27 09:32:12+00:00,GopalBhootra,@CardMavenIn Citi bank will issue card to me given i am currently in Surat and my office location is of Bangalore?
6,2022-05-27 08:57:27+00:00,Vipinyadav125,"Citibank credit card is fraud. I have done rentpaid 49000 bill. but receiver not got any payment. Amount debited from my account @Citibank
@CitibanamexCS @ContactoCitibmx"
7,2022-05-27 08:30:59+00:00,OrwellHuxley69,"@JustATechGuy_ @Legitcryptonerd Investment banking 2.0 // Defi 2.0 // $QNT $ALBT $LCX    // pro-tip,  ALBT LCX  is DEFI 2.0 &amp; investment banking 2.0. Tokenize everything, derivatives, bonds, funds, all of it. (J.P Morgan, BlackRock, citibank, etc all of them.)  // QUANT // FEW https://t.co/2F72WTYe8g"
8,2022-05-27 08:30:18+00:00,elfroggo69,"if you put $10,000 into this citi bank account you would earn one dollar every year"
9,2022-05-27 08:02:34+00:00,mozlu35,Fantastic day is ahead of us with very energetic young talents in the Fintech Innovation Camp. Thank you @gencbasariegitimvakfi @celikoren @secilyildirimcelebi @citibank @ Tekfen Tower https://t.co/wnqU9nJzpw
10,2022-05-27 07:38:57+00:00,sodasick,Planning to apply citibank cred card. Jerat anak muda.
11,2022-05-27 07:31:49+00:00,RegRaleign,"There's no reason why Citibank couldn't adopt a blockchain, say Ethereum, and start offering all of the same produc… https://t.co/gywTPnDnAW"
12,2022-05-27 07:25:22+00:00,StanChartUGA,"2/4: Stanley joins us from Citibank Uganda limited where he worked as Head of Compliance, Anti-Money Laundering and Data Protection Officer."
13,2022-05-27 07:21:02+00:00,Prashhpandit01,@AskCiti Hello Shameless @AskCiti @Citi @Citibank
14,2022-05-27 06:49:45+00:00,Penthux,"@Lorraine_Bracco ""Whenever we needed money, we'd rob the airport. To us, it was better than Citibank."""
15,2022-05-27 06:49:32+00:00,sn_tweet,"@Citibank its impossibl to get ur custmr care. 100's of IVR doesnt lead me anywhr. Call bck link doesn't wrk coz I hvn""t got OTP yet. Is thr any othr way to contct Citibank? I need urgent contact as my health insurance is expiring &amp; need to renew it. Help pls."
16,2022-05-27 06:03:08+00:00,_JusMimi_,Y’all has no idea how hard he had it. The nights I personally know his momma with w/o so he could have it. The hours at Citibank I worked so he could have it. For school trips and class pictures bc it takes a fuckin village! 16hr shifts and helping him w/ hw. Someone took my baby
17,2022-05-27 05:54:24+00:00,elenataylorgarc,"@Suzy2313922857 @Bluepearlnews @ocelot_z3 @Patsgirl777 I was given an Amex, a Citibank Visa, an MBNA Mastercard, and a Spiegel store card while a college student with a part-time job.  It is pretty common for banks to aggressively market these to young adults."
18,2022-05-27 05:49:25+00:00,grapiken,"citibank merging with unionbank.
ucpb merging with landbank.

nakakahilo.

😵‍💫"
19,2022-05-27 05:45:09+00:00,vikash_0304,"@Citibank This name is just named for bad services and always committing wrong promises to attract customers to open account or credit card.
That's the reason it's losing its fame because of worst service. #citibank #rbi #Banks @Citi @RBI @sbi @IndiaHelps"
20,2022-05-27 05:40:27+00:00,KarlBruce88,"@c0rporateslave The Best CC is Citibank but it got me in my younger years. Good thing naka recover ako. Very generous kasi sa credit limit, one phone call lang increase agad hahaha"
21,2022-05-27 05:38:59+00:00,sanmeg_,"@Citibank baka naman, isang linggo na kong tumatawag sa customer service niyo!!!"
22,2022-05-27 05:34:18+00:00,KarlBruce88,"@c0rporateslave Sana all Citibank NA depositor. Hahaha Citibank’s acquired by Unionbank na. Sana Unionbank will offer more options for their Affinity Cards just like before, wala na yung college org ko sa list."
23,2022-05-27 05:29:32+00:00,c0rporateslave,@KarlBruce88 Hmmm! Basta di ko bet. So far Citibank and Unionbank for me.
24,2022-05-27 05:26:00+00:00,Fuquet,@TheMarketDog But muh Citibank... https://t.co/PJbA3M324m
25,2022-05-27 05:17:04+00:00,AmitKumarjha93,Till now no phone call no resolution ?? @Citi @Citibank https://t.co/1HnOgiCbLl
26,2022-05-27 05:06:25+00:00,Sathyantweets,"In the so called investor friendly government’s tenure 2,738 foreign companies have shut shop in India. 

Names include Cairn, Hutchison, Harley-Davidson, General Motors, Ford, Holcim, Citibank, Barclays, RBS.

This is what jingoism &amp; crony capitalism does. 

Wah BJP Wah! https://t.co/l03FbPlwZo"
27,2022-05-27 04:54:30+00:00,YoHRBuddy,"The #greatresignation? What is common to Harley-Davidson, GM, Holcim, Citibank, Metro Cash &amp; Carry - they join 2,783 Foreign Companies who have closed business/downsized operations between 2014-2021. That's a tad over 20% of active Foreign Subsidiaries (12,458) In India, today."
28,2022-05-27 04:53:33+00:00,SHYiekar,บัตรเครดิตของ citibank นี่มันเช็คเลขเทรคได้มะ
29,2022-05-27 04:51:08+00:00,Mr_aalekh,"Happy to have completed my CitiBank APAC Investment Banking Virtual Reality Intern Experience. Thank you Citi It was a great opportunity and a wonderful learning experience. Thank you @iam_khare for introducing me to this program.
#opportunity #thankyou #…https://t.co/Nu1HCw3Cy2"
30,2022-05-27 04:50:22+00:00,sabarik54,"@AskCiti @Citibank @AskCiti I raised on this portal 5 dys ago, i got no acknowledgment nor resolution. Hope u understand the gravity of my concern. I have tried all my channels. I'm not able to manage my basic needs. After 10days i get an email yesterday to wait for 5 bsn day. Insane😡😡"
31,2022-05-27 04:49:14+00:00,823tuxjibz,Citibank มุงไม่ต้องโทรมาเลอ varified วุ่นวาย
32,2022-05-27 04:47:02+00:00,Mr_aalekh,Happy to have completed my CitiBank APAC Investment Banking Virtual Reality Intern Experience. Thank you Citi It was a great opportunity and a wonderful learning experience. Thank you @iam_khare for introducing me to this program.…https://t.co/kON1NQiDdV https://t.co/E3iQ3spCdb
33,2022-05-27 04:46:32+00:00,jonicuquet,"@lukebryan @BayerUS @Citibank @FarmlandFoods @Fendt_NA @RileyGreenMusic @jamesonrodgers @ThePeachPickers @djrockd11 Luke Bryan just sang, “Lady”, honoring Lionel Richie at the Lincoln Center on PBS tonight!  Luke was awesome!!!"
34,2022-05-27 04:36:56+00:00,AndyR_1982,"@OOOL1908 Definitely, Best jumper mate. Mighty Citibank bears."
35,2022-05-27 04:33:59+00:00,itscharliemar,"Meanwhile, Citibank downgrades US stocks and increase recession risk! 

And, Bank of Americas ‘Bull and Bear’ indicator hits one if it’s lowest points on record.  (HIGH FEAR/BEAR MARKET)"
36,2022-05-27 04:33:11+00:00,satoshibacon,@btt_777 @RealyNiggaohman Wells fargo + citibank + union bank + hsbc = mastercard + nasdaq = dcg = grayscale + zcash + mana + stx + coinbase + kraken + ledger + etherscan =&gt; tradfi = cefi = defi = 1 giuộc
37,2022-05-27 04:32:45+00:00,FadzlanMokhtar,Betul ke Ringgit Plus bagi iPhone kalau apply credit card citibank? 😑
38,2022-05-27 04:15:25+00:00,mediabro17,"@Citibank Another stock photo of a Black person? I get it, that's your target demographic to harass and call cops on for depositing checks!"
