,Date,Username,Tweet
0,2022-06-03 17:29:20+00:00,ChrisPratt956,@lukebryan @BayerUS @Citibank @FarmlandFoods @Fendt_NA @RileyGreenMusic @jamesonrodgers @ThePeachPickers @djrockd11 🥰
1,2022-06-03 17:27:56+00:00,BillMew,"Ooops
Trader working from home wipes out €300bn in stocks after adding extra zero - @Telegraph
https://t.co/ZDiWODMoXl

Where were the #regulatory #compliance and #risk controls?
@Citibank?

@dez_blanchfield @sarbjeetjohal @rwang0 @NigelTozer @robmay70 @IanMCalvert @AkwyZ @DT"
2,2022-06-03 17:25:35+00:00,Maelstrome,@Citibank @PanicAtTheDisco https://t.co/R0j7WlJO0s
3,2022-06-03 17:25:01+00:00,BettyLa66414969,@lukebryan @kerriedwards84 @BayerUS @Citibank @FarmlandFoods @Fendt_NA @RileyGreenMusic @jamesonrodgers @ThePeachPickers @djrockd11 Got my tickets can't wait. I am so ready
4,2022-06-03 17:25:00+00:00,Maelstrome,@Citibank @PanicAtTheDisco https://t.co/yTK4EwzC8y
5,2022-06-03 17:22:03+00:00,Homervshomer,@Citibank when will you fix the prices of Thank You program so it's not a rip off?
6,2022-06-03 17:15:39+00:00,LVerbel11,"@maricarballob Av Venezuela, Edificio Citibank Oficina 11E. Al lado del parque de las flores. Lo espero."
7,2022-06-03 17:14:48+00:00,Caramella1965,"Einige ihrer Kunden sind Ikea, Volkswagen Group Russia, Toyota Russia, Oilfield Service Company, Panasonic, Mechel PJSC, ChTPZ PJSC, Abbott Laboratories, Baker Hughes, ING Bank, Yamaha Motor, Jones Lang LaSalle, Caterpillar, JLL, Gilette, Citibank , Mars, 1/2 https://t.co/iH3nlGonrl"
8,2022-06-03 17:09:07+00:00,donmfil,@Citibank why aren't your ATMs giving out $50 bills any more? What a major inconvenience!!
9,2022-06-03 17:08:15+00:00,OAdenli,Citibank 4.2milyon artıda. Fakat AKD de BofA 2.9milyon alımda. Başka yerden alım var. AKD ile Takasta miktarlar tam tersi. Birisinde 4milyon artı diğerinde 4milyon eksi. Virmanlar uçmuş tahtada. Çakallar burda bence. Özellikle 2 hafta önce QNB tavana kaldırdı 12milyon lot ile
10,2022-06-03 17:00:01+00:00,Citibank,"#CitiPresale tickets are now available for @PanicAtTheDisco’s Viva Las Vengeance Tour starting in September! Cardmembers, be sure to purchase your tix before the presale ends on 6/7 @ 10PM: https://t.co/NmaIfXW2SP https://t.co/qgJ6Ba6qno"
11,2022-06-03 16:48:27+00:00,SassyMsAshley,"Seriously hate @Citibank. By far, the worst banking experience!"
12,2022-06-03 16:46:35+00:00,DepaixPorteur,"@dont_arthur @YourAnonTV @B00daMooda Some of their clients: Ikea, Volkswagen Group Russia, Toyota Russia, Oilfield Service Company, Panasonic, Mechel PJSC, ChTPZ PJSC, Abbott Laboratories, Baker Hughes, ING Bank, Yamaha Motor, Jones Lang LaSalle, Caterpillar, JLL, Gilette, Citibank, Mars, 1/2"
13,2022-06-03 16:45:35+00:00,kc_dos_siete,@NoisyHuevos It’d be like saying you work for Citibank because you work at Citifield
14,2022-06-03 16:36:00+00:00,ATMIAEurope,Citi to Launch Citi Commercial Cards for Japan Business Clients. Read more from @Citibank here: https://t.co/xByDM3s9uF https://t.co/sC1UNDqnHu
15,2022-06-03 16:36:00+00:00,ATM_Industry,Citi to Launch Citi Commercial Cards for Japan Business Clients. Read more from @Citibank here: https://t.co/ZZEbr9SWac https://t.co/ygHRMOa5K2
16,2022-06-03 16:35:36+00:00,Maggie04119865,"JPMorgan Chase &amp; Co if you are a reputable company you will wire back the fraudulent wire transfer made to your bank from our savings account at Citibank done June 1. We are senior citizens on a fixed income and your ""client"" cleaned out our account.
Let me know if you can help."
17,2022-06-03 16:32:23+00:00,DepaixPorteur,"Some of their clients include, Ikea, Volkswagen Group Russia, Toyota Russia, Oilfield Service Company, Panasonic, Mechel PJSC, ChTPZ PJSC, Abbott Laboratories, Baker Hughes, ING Bank, Yamaha Motor, Jones Lang LaSalle, Caterpillar, JLL, Gilette, Citibank, Mars, 1/2"
18,2022-06-03 16:32:10+00:00,paulo_jatem,"@anakinharumi1 @ChunLilinha Eu trabalhei na Paulista, no Citibank, década de 90 e digo que isso era a coisa mais normal do mundo ver isso nos escritórios. Essa geração está  descobrindo a roda, literalmente. kkkk"
19,2022-06-03 16:30:27+00:00,tylerdeanv,"@0ta_94 Like the whole gay youth suicide epidemic, pre-gay marriage, homophobic bullying was huge, I'm sorry but that's always gonna be bigger than whatever DC is doing now in the era of Citibank sponsored pride. Because it matters that during those years they didn't do much."
20,2022-06-03 16:27:20+00:00,Maelstrome,@Citibank @nokidhungry https://t.co/ARKAFJ0P3m
21,2022-06-03 16:26:50+00:00,Maelstrome,@Citibank @TODAYshow https://t.co/3GM518Ea3K
22,2022-06-03 16:26:36+00:00,DepaixPorteur,"@biasedByLogic @NatSecGeek @YourAnonNews @B00daMooda Some of their clients: Ikea, Volkswagen Group Russia, Toyota Russia, Oilfield Service Company, Panasonic, Mechel PJSC, ChTPZ PJSC, Abbott Laboratories, Baker Hughes, ING Bank, Yamaha Motor, Jones Lang LaSalle, Caterpillar, JLL, Gilette, Citibank, Mars, 1/2"
23,2022-06-03 16:25:32+00:00,Maelstrome,@Citibank @TODAYshow https://t.co/zX3Lt5Q0jb
24,2022-06-03 16:24:48+00:00,gwenwindflower,@pedram_navid @itunpredictable i just give @clairebcarroll all my financial passwords and she gives me an allowance on a citibank kids prepaid card
25,2022-06-03 16:18:32+00:00,Maelstrome,"@Citibank @nokidhungry yea, thank you for supporting this: https://t.co/TFqsxlxX6P"
26,2022-06-03 16:00:03+00:00,bestcardsHQ,"👀⭐Citi Custom Cash℠ Card v.s. Citi® Double Cash Card: Read This Before Applying https://t.co/ofWurwlqVn

#citibank #creditcards #cashback #rewards #cashbackrewards https://t.co/F9yhiYYknz"
27,2022-06-03 15:53:34+00:00,afterthought9,"You know when you have a credit card for like a million years and then in one fell swoop they lose that loyalty they're busy thanking you for? 
Yea, @Citibank, I'm looking at you."
28,2022-06-03 15:46:57+00:00,YoungB_slime,"Charles told the guards that he had been sent by Citibank to pick the cash, which had been sent from New York.

The Heist made headlines made headlines up to point whereby a reward token of Sh 1 million had to be offered for Charles to be arrested.  He fled to Tanzania."
29,2022-06-03 15:46:33+00:00,JohnfrLostGold,"@Citibank @Citi I'm not going to standby while you screw me , going to tell everyone I know how you treated me. 33yrs of paying you. No loyalty and zero customer care. I'm not done with you!!"
