,Date,Username,Tweet
0,2022-05-24 10:12:49+00:00,LegalBW,"Congratulations to SNG and Partners, for winning the Banking and Financial Services Law Firm of the year, at the @BWLegal World Global Legal Summit.

#BWGLLS https://t.co/WqEUrRVSId"
1,2022-05-24 10:09:02+00:00,SAPBanking,"The SAP and SAP Fioneer Financial Services Forum 2022 is an exciting opportunity for industry professionals to learn how #banks are harnessing cutting-edge solutions to change with the times.

Register here: https://t.co/bpcTpBlhgY https://t.co/wFtjUVIoZI"
2,2022-05-24 10:01:21+00:00,IFCEurope,"#Fintech is upending the global financial services industry and creating new opportunities to expand access to banking for the poor. 

Read about it in the @WorldBank/@IFC_org #FutureofFinance report. https://t.co/W8wjSpvQ2n https://t.co/1ALEUlpk6U"
3,2022-05-24 09:48:47+00:00,WealthDfm,"A third (31%) of financial services and banking professionals are planning to leave the industry due to high pressure, according to a new report by LemonEdge.

https://t.co/uOAaAHrV2e"
4,2022-05-24 09:40:03+00:00,BankingZA,"On 16 May 2022 the Minister of Finance, in consultation with the Prudential Authority (PA), placed Ubank Limited (Ubank) under curatorship. 
This was done to protect Ubank’s customers and the financial services sector. 
Find out more https://t.co/EK2tOp8Dlp https://t.co/apfZb0doWE"
5,2022-05-24 09:33:10+00:00,starvision9755,STAR VISION FINANCIAL SERVICES @ Indore the Cleanest City of india https://t.co/SlU3MXZM4d
6,2022-05-24 09:28:03+00:00,jeroendebel,"Financial services play an important role in the global economy and therefore are subject to heavy regulation. 
 
Amidst the changing market landscape, various regulators have introduced new digital banking charters that facilitate new innovation with lig…https://t.co/rc4QwSJJnN"
7,2022-05-24 08:43:15+00:00,LondonLovesBiz,One in three banking and financial services plan to leave industry due to high pressure - https://t.co/ClJOoUyyMf https://t.co/fCzEw7XRrM
8,2022-05-24 07:16:20+00:00,tinaarceodumlao,"JE Holdings, a privately-held investment company of the Gokongwei family, will become a co-equal shareholder of Maxicare alongside the Equicom Group. The Equicom Group, led by Chair Antonio Go, is engaged in healthcare, information technology, banking and financial services."
9,2022-05-24 06:56:20+00:00,ITNewsAfrica,"How to Reduce Risk When All Your Information is Out There -Anyone who uses banking and financial services, social media, mobile apps, or has retail accounts has shared their personal information... - https://t.co/8SqnGtMvBe https://t.co/ev8cuePbFJ"
10,2022-05-24 06:37:01+00:00,europeanmercha1,"In this inspiring and insightful interview on @vzinios, Dr. Ozan Øzerk talks about how blockchain technology will completely change our relationship with financial services and the exciting future of Banking as a Service. 

Read now👇
https://t.co/FcOXBbC8pU..."
11,2022-05-24 06:36:41+00:00,davidpremier,"Blockchain in Banking and Financial Services Market to Witness Growth Acceleration | Microsoft, Intel, IBM – The Daily Vale - The Daily Vale https://t.co/rgfw7gfuIW"
12,2022-05-24 06:36:40+00:00,Cryptoprenure,"Blockchain in Banking and Financial Services Market to Witness Growth Acceleration | Microsoft, Intel, IBM – The Daily Vale - The Daily Vale https://t.co/CGuJW1XPb1 #blockchain #crypto"
13,2022-05-24 06:18:17+00:00,ibfsUg,"To stay ahead of the competition, define your customers' borrowing needs and design effective and competitive credit solutions. To learn more about working capital solutions, join us for a webinar on May 26, 2022. 
Zoom Registration Link
https://t.co/XFRAX2UIQ9
ID: 922 7128 0335 https://t.co/FB4H3hGYFP"
14,2022-05-24 06:12:59+00:00,GemsProspector,"says Guggenheim investment director Scott Minerd. Guggenheim Partners is a global investment and advisory financial services firm that focuses on investment banking, asset management, capital markets services and insurance services."
15,2022-05-24 03:23:58+00:00,starvision9755,For Open Demat Account Contact With Us.... @ Indore the Cleanest City of india https://t.co/mYRslNkoXi
